0.36	0.67	0.44	
0.39	0.68	0.44	
0.41	0.70	0.45	
0.43	0.71	0.46	
0.44	0.72	0.46	
0.45	0.73	0.47	
0.45	0.73	0.47	
0.46	0.74	0.47	
0.46	0.74	0.47	
0.46	0.74	0.48	
0.46	0.75	0.48	
0.46	0.75	0.48	
0.46	0.75	0.47	
0.46	0.75	0.47	
0.46	0.75	0.47	
0.46	0.75	0.47	
0.46	0.75	0.47	
0.46	0.75	0.47	
0.45	0.75	0.47	
0.45	0.75	0.47	
0.45	0.75	0.46	
0.45	0.75	0.46	
0.45	0.75	0.46	
0.44	0.75	0.46	
0.44	0.75	0.45	
0.44	0.75	0.45	
0.44	0.75	0.45	
0.43	0.75	0.45	
0.43	0.75	0.44	
0.43	0.75	0.44	
0.43	0.75	0.44	
0.42	0.75	0.44	
0.42	0.75	0.43	
0.42	0.75	0.43	
0.41	0.75	0.43	
0.41	0.75	0.42	
0.41	0.75	0.42	
0.41	0.75	0.42	
0.40	0.75	0.42	
0.40	0.75	0.41	
0.40	0.75	0.41	
0.39	0.75	0.41	
0.39	0.75	0.40	
0.39	0.75	0.40	
0.38	0.75	0.40	
0.38	0.75	0.39	
0.38	0.75	0.39	
0.37	0.74	0.38	
0.37	0.74	0.38	
0.37	0.74	0.38	
0.36	0.74	0.37	
0.36	0.74	0.37	
0.35	0.74	0.37	
0.35	0.74	0.36	
0.35	0.74	0.36	
0.34	0.74	0.35	
0.34	0.74	0.35	
0.34	0.74	0.35	
0.33	0.74	0.34	
0.33	0.74	0.34	
0.32	0.74	0.33	
0.32	0.74	0.33	
0.32	0.74	0.32	
0.31	0.74	0.32	
0.31	0.74	0.31	
0.30	0.74	0.31	
0.30	0.74	0.31	
0.30	0.74	0.30	
0.29	0.74	0.30	
0.29	0.75	0.29	
0.28	0.75	0.29	
0.28	0.75	0.28	
0.28	0.75	0.28	
0.27	0.75	0.27	
0.27	0.75	0.27	
0.26	0.75	0.26	
0.26	0.75	0.26	
0.25	0.75	0.26	
0.25	0.75	0.25	
0.25	0.75	0.25	
0.24	0.75	0.24	
0.24	0.75	0.24	
0.23	0.75	0.23	
0.23	0.75	0.23	
0.23	0.75	0.22	
0.22	0.76	0.22	
0.22	0.76	0.22	
0.21	0.76	0.21	
0.21	0.76	0.21	
0.21	0.76	0.20	
0.20	0.76	0.20	
0.20	0.76	0.20	
0.20	0.77	0.19	
0.19	0.77	0.19	
0.19	0.77	0.18	
0.19	0.77	0.18	
0.19	0.77	0.18	
0.18	0.77	0.17	
0.18	0.78	0.17	
0.18	0.78	0.17	
0.17	0.78	0.16	
0.17	0.78	0.16	
0.17	0.78	0.16	
0.17	0.79	0.16	
0.17	0.79	0.15	
0.16	0.79	0.15	
0.16	0.79	0.15	
0.16	0.80	0.15	
0.16	0.80	0.14	
0.16	0.80	0.14	
0.15	0.80	0.14	
0.15	0.80	0.14	
0.15	0.81	0.13	
0.15	0.81	0.13	
0.15	0.81	0.13	
0.15	0.81	0.13	
0.15	0.81	0.13	
0.14	0.82	0.12	
0.14	0.82	0.12	
0.14	0.82	0.12	
0.14	0.82	0.12	
0.14	0.82	0.12	
0.14	0.83	0.11	
0.14	0.83	0.11	
0.14	0.83	0.11	
0.14	0.83	0.11	
0.14	0.83	0.11	
0.14	0.84	0.11	
0.14	0.84	0.11	
0.14	0.84	0.10	
0.13	0.84	0.10	
0.13	0.84	0.10	
0.13	0.85	0.10	
0.13	0.85	0.10	
0.13	0.85	0.10	
0.13	0.85	0.10	
0.13	0.85	0.09	
0.13	0.85	0.09	
0.13	0.86	0.09	
0.13	0.86	0.09	
0.13	0.86	0.09	
0.13	0.86	0.09	
0.13	0.86	0.09	
0.13	0.86	0.09	
0.13	0.87	0.09	
0.13	0.87	0.08	
0.13	0.87	0.08	
0.13	0.87	0.08	
0.13	0.87	0.08	
0.13	0.87	0.08	
0.13	0.87	0.08	
0.12	0.88	0.08	
0.12	0.88	0.08	
0.12	0.88	0.08	
0.12	0.88	0.08	
